model,as_of,start,end,n,max_weight,portfolio_return,benchmark_return,excess_return
risk_balanced_lstm,2026-04-15,2026-04-16,2026-04-20,40,0.1,0.02140541915162483,0.030574670033616025,-0.009169250881991196
lgb_consensus_previous,2026-04-15,2026-04-16,2026-04-20,37,0.038115750876157956,0.03467521578227531,0.030574670033616025,0.0041005457486592845
risk_balanced_lstm,2026-04-20,2026-04-21,2026-04-23,40,0.10000000000000002,0.024150186621224035,0.0006254506924106007,0.023524735928813434
lgb_consensus_previous,2026-04-20,2026-04-21,2026-04-23,39,0.03728753905956527,0.003965676128482576,0.0006254506924106007,0.003340225436071975
risk_balanced_lstm,2026-04-21,2026-04-22,2026-04-24,40,0.10000000000000003,-0.006673407354987358,-0.0027146447776489335,-0.003958762577338425
lgb_consensus_previous,2026-04-21,2026-04-22,2026-04-24,50,0.024542596878409994,0.014756196436292491,-0.0027146447776489335,0.017470841213941424
risk_balanced_lstm,2026-04-22,2026-04-23,2026-04-27,40,0.1,0.02354489904497699,-0.009208492509891975,0.03275339155486896
lgb_consensus_previous,2026-04-22,2026-04-23,2026-04-27,82,0.0175450704653876,-0.0008364093010468941,-0.009208492509891975,0.00837208320884508
risk_balanced_lstm,2026-04-24,2026-04-27,2026-04-29,40,0.1,0.04392432589335978,0.011463072432223775,0.03246125346113601
lgb_consensus_previous,2026-04-24,2026-04-27,2026-04-29,30,0.04197380244045527,0.0146057122579434,0.011463072432223775,0.0031426398257196238
risk_balanced_lstm,2026-04-27,2026-04-28,2026-04-30,40,0.1,0.03993932247365062,0.0060800942373033795,0.03385922823634724
lgb_consensus_previous,2026-04-27,2026-04-28,2026-04-30,39,0.0397532191647625,0.0075479387062444185,0.0060800942373033795,0.001467844468941039
