model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
baseline_xgb,2026-01-16,2026-01-19,2026-01-23,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260116.csv,ok,,0.03761541052040378,0.04342355837240719,-0.005808147852003412,50
baseline_xgb,2026-01-09,2026-01-12,2026-01-16,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260109.csv,ok,,0.035400357958407166,0.02184372085495223,0.013556637103454935,50
baseline_guard_adaptive,2026-01-23,2026-01-26,2026-01-30,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260123.csv,ok,,-0.014157618741054914,-0.02556947095085227,0.011411852209797355,30
baseline_xgb,2026-01-23,2026-01-26,2026-01-30,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260123.csv,ok,,-0.029367830713415782,-0.02556947095085227,-0.0037983597625635135,50
baseline_xgb,2026-01-30,2026-02-02,2026-02-06,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260130.csv,ok,,-0.0290575823893335,-0.02677336652920015,-0.0022842158601333526,50
baseline_xgb,2026-02-06,2026-02-09,2026-02-13,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260206.csv,ok,,0.022718519514278748,0.018802385786234943,0.0039161337280438045,50
baseline_guard_adaptive,2026-01-09,2026-01-12,2026-01-16,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260109.csv,ok,,0.051325773222335405,0.02184372085495223,0.029482052367383174,40
baseline_xgb,2026-02-27,2026-03-02,2026-03-06,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260227.csv,ok,,-0.04664137168275715,-0.03443052740386576,-0.012210844278891388,50
baseline_guard_adaptive,2026-02-27,2026-03-02,2026-03-06,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260227.csv,ok,,-0.0019017987689039638,-0.03443052740386576,0.0325287286349618,498
baseline_xgb,2026-03-06,2026-03-09,2026-03-13,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260306.csv,ok,,-0.013057126927245052,-0.014417723691694029,0.0013605967644489767,50
baseline_guard_adaptive,2026-01-16,2026-01-19,2026-01-23,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260116.csv,ok,,0.10975402866379183,0.04342355837240719,0.06633047029138464,30
baseline_xgb,2026-03-13,2026-03-16,2026-03-20,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260313.csv,ok,,-0.044971056252640716,-0.058224849686849156,0.01325379343420844,50
baseline_guard_adaptive,2026-01-30,2026-02-02,2026-02-06,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260130.csv,ok,,0.0006320664398916094,-0.02677336652920015,0.02740543296909176,30
baseline_guard_adaptive,2026-03-06,2026-03-09,2026-03-13,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260306.csv,ok,,0.10866127836656438,-0.014417723691694029,0.1230790020582584,30
baseline_guard_adaptive,2026-03-13,2026-03-16,2026-03-20,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260313.csv,ok,,-0.03611254862660909,-0.058224849686849156,0.022112301060240064,35
baseline_xgb,2026-03-20,2026-03-23,2026-03-27,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260320.csv,ok,,0.02627008500972964,-0.002889548078185755,0.029159633087915394,50
baseline_guard_adaptive,2026-03-20,2026-03-23,2026-03-27,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260320.csv,ok,,0.02808613886332293,-0.002889548078185755,0.030975686941508686,40
baseline_xgb,2026-03-27,2026-03-30,2026-04-03,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260327.csv,ok,,-0.030113250671165936,-0.02619360438502094,-0.0039196462861449954,50
baseline_xgb,2026-04-10,2026-04-13,2026-04-17,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260410.csv,ok,,0.049019231908488205,0.03072126825663024,0.018297963651857964,50
baseline_xgb,2026-04-17,2026-04-20,2026-04-24,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_xgb_20260417.csv,ok,,0.01580275540874503,0.0041004631738672526,0.011702292234877777,50
baseline_guard_adaptive,2026-02-06,2026-02-09,2026-02-13,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260206.csv,ok,,0.08752186664785834,0.018802385786234943,0.0687194808616234,30
baseline_guard_adaptive,2026-04-10,2026-04-13,2026-04-17,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260410.csv,ok,,0.059127841386763254,0.03072126825663024,0.028406573130133013,35
baseline_guard_adaptive,2026-03-27,2026-03-30,2026-04-03,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260327.csv,ok,,-0.017128489790661672,-0.02619360438502094,0.00906511459435927,40
baseline_guard_adaptive,2026-04-17,2026-04-20,2026-04-24,stage2_report/backtests/guard_route_v2_nocache_fullweek12_20260510/baseline_guard_adaptive_20260417.csv,ok,,0.034644686989221504,0.0041004631738672526,0.03054422381535425,30
