as_of,window,selected_route,guard_reason,idx_ret_5d,idx_ret_20d,breadth_ret_5d_pos,effective_baseline_top_k
2026-01-09,2026-01-12 to 2026-01-16,weekly_cycle_tree,weekly_cycle_extreme_broad_rebound,0.07917837262077909,0.1258653934030689,0.8877755511022044,0
2026-01-16,2026-01-19 to 2026-01-23,weekly_consensus,weekly_consensus_allowed,0.02184372085495223,0.15338546679566956,0.48096192384769537,0
2026-01-23,2026-01-26 to 2026-01-30,baseline_xgb,baseline_guard_overheated_high_breadth,0.04342355837240719,0.16840577581188332,0.7975951903807615,30
2026-01-30,2026-02-02 to 2026-02-06,weekly_consensus,weekly_consensus_allowed,-0.02556947095085227,0.12121586364290282,0.2725450901803607,0
2026-02-06,2026-02-09 to 2026-02-13,weekly_consensus,weekly_consensus_allowed,-0.02677336652920015,0.011136961276634105,0.2985971943887776,0
2026-02-27,2026-03-02 to 2026-03-06,broad_defensive_tilt,baseline_guard_mild_positive_flat_tape,0.0278836645270355,0.03229233171129531,0.6412825651302605,0
2026-03-06,2026-03-09 to 2026-03-13,weekly_consensus,weekly_consensus_allowed,-0.03443052740386576,-0.01849153594401798,0.24649298597194388,0
2026-03-13,2026-03-16 to 2026-03-20,weekly_alpha_current,weekly_alpha_weak_flat_positive_medium_trend,-0.014417723691694029,0.011501322042541284,0.4088176352705411,0
2026-03-20,2026-03-23 to 2026-03-27,baseline_xgb,baseline_guard_severe_broad_selloff,-0.058224849686849156,-0.07877099614533978,0.11823647294589178,40
2026-03-27,2026-03-30 to 2026-04-03,weekly_cycle_tree,weekly_cycle_long_selloff_stabilization,-0.002889548078185755,-0.10635113675080421,0.3867735470941884,0
2026-04-10,2026-04-13 to 2026-04-17,weekly_alpha_auto,weekly_alpha_overheated_negative_medium_trend,0.04787087098419485,-0.04666646410203901,0.7314629258517034,0
2026-04-17,2026-04-20 to 2026-04-24,weekly_consensus,weekly_consensus_allowed,0.03072126825663024,0.04279549935318738,0.6472945891783567,0
